Predicted_price,brand_name,item_condition,item_description,item_name,main_category,pic,shipping_fee,sold_badge,sub1_category,sub2_category,url,ex_item_name_mecab_ipadic_neologd,ex_item_description_mecab_ipadic_neologd,actual_price
2563.0,ランドリー,目立った傷や汚れなし,数回着用しました。目立った汚れはありません。 胸のワンポイントがとても可愛らしいです。 サイズはMです。 着丈65 袖丈63 肩幅49 身幅49.5 多少の誤差があると思います。すみません。  ランドリー LAUNDRY,LAUNDRY カーディガン,レディース,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m83726132442_1.jpg?1521371356,送料込み,NOT_SOLD,トップス,カーディガン/ボレロ,https://item.mercari.com/jp/m83726132442/,LAUNDRY カーディガン  ,数回 着用 汚れ 胸 ワンポイント サイズ M 着丈 袖丈 肩幅 身幅 . 多少 誤差 ランドリー LAUNDRY  ,870
2951.0,,やや傷や汚れあり,何回か読みましたが 裏話など昔の頃の話が書かれていたり、 秘蔵写真なども載っていて とても面白かったです！  本を整理する為出品いたします。  自宅保管の為 完璧を求める方のご購入はご遠慮下さい。   ※バラ売りの考えておりません   ♯B'zの素顔 ♯B'zの飛翔 ♯稲葉浩志 ♯松本孝弘 ♯ビーズ,B'z好きな方へ 本2冊セット,エンタメ・ホビー,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m63783517296_1.jpg?1522160603,送料込み,NOT_SOLD,タレントグッズ,ミュージシャン,https://item.mercari.com/jp/m63783517296/,B'z 本 セット  ,裏話 話 秘蔵写真 ！ 本 整理 出品 自宅 保管 完璧 購入 遠慮 ※ バラ ♯ B'z 素顔 ♯ B'z 飛翔 ♯ 稲葉浩志 ♯ 松本孝弘 ♯ ビーズ  ,1100
4840.0,,未使用に近い,鼻緒？の所が本物の蛇の皮を使ってる為、左右で色合いが少し違いますが、日焼け等ではありません。 裏の部分は本物のタイヤを加工してはってるみたいです。 ソールは竹？みたいなのを編み込んで作ってます。  MADE IN BALI  2回ほど短時間履きましたが、指のまたが自分には合わないのか痛くて箱に閉まって保管していました。 なので、かなりの美品だと思います。  サイズ・27センチ  素人採寸ですが、爪先から踵まで28.5センチありました。  定価1万円位したと思います。  送料の関係上、箱なしで送らせて頂きます。  常識の範囲内でしたら、多少のお値引きも考えますのでm(__)m   ご質問等ありましたらお気軽にコメント下さいm(__)m,メンズ パイソン柄サンダル,メンズ,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m68270256342_1.jpg?1497715438,送料込み,NOT_SOLD,靴,サンダル,https://item.mercari.com/jp/m68270256342/,メンズ パイソン 柄 サンダル  ,鼻緒 ？ 本物 蛇 皮 左右 色合い 日焼け 裏 部分 本物 タイヤ 加工 ソール 竹 ？ MADE IN BALI 2回 指 自分 箱 保管 かなり 美 サイズ ・ 27センチ 素人 採寸 爪先 踵 . 5センチ 定価 1万円 送料 関係 箱 常識 範囲 値引き m(__)m 質問 コメント m(__)m  ,4600
2108.0,,新品、未使用,かなりの飛距離でます。 上から３つが45g 下３つが30g  箱出しの新品未使用です！,タックルハウス コンタクト int.,スポーツ・レジャー,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m20644103052_1.jpg?1522033922,着払い,NOT_SOLD,フィッシング,ルアー用品,https://item.mercari.com/jp/m20644103052/,タックル ハウス コンタクト int .  ,かなり 飛距離 上 ３つ 45g ３つ 30g 新品 未使用 ！  ,5000
1938.0,ザラ,新品、未使用,サイズフリー ナルシスとか好きなかたにも♡ 春夏絶対使えます♡  他にもザラ新品未使用 多数出品してます(^^),ZARA新品タグつきレースジレ,レディース,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m74662300769_1.jpg?1519734636,送料込み,NOT_SOLD,トップス,ベスト/ジレ,https://item.mercari.com/jp/m74662300769/,ZARA 新品 タグ レースジレ  ,サイズ フリー ナルシス 春夏 にも ザラ 新品 未使用 出品 (^^)  ,2400
10315.0,ジーショック,目立った傷や汚れなし,シバニャン様専用です！！  稀に使用してました。 定期的に超音波洗浄を実施してます。 バンドの止め外しするところには少々キズが見られますが他の部分は特にありません。  メタルバンドのモデルは、スカイコックピットの中でも珍しいのではないでしょうか。 箱、説明書、調整のコマはございません。  緩衝材に包んで送らせていただきます。  ご理解いただける方のご購入、お待ちしております！！  さらーに、お値下げしました！！,G-SHOCK スカイコックピット GW-A1000D ジバニャン様専用,メンズ,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m75023176442_1.jpg?1521813276,送料込み,NOT_SOLD,時計,腕時計(アナログ),https://item.mercari.com/jp/m75023176442/,G-SHOCK スカイ コックピット GW - A1 D  ,シバ ！ ！ 使用 定期的 超音波 洗浄 実施 バンド 止め キズ 他 部分 特に メタル バンド モデル スカイ コックピット 箱 説明書 調整 コマ 緩衝材 理解 購入 お待ち ！ ！ さらー 値下げ ！ ！  ,19000
18139.0,ダブルアールエル,新品、未使用,"ご覧いただきまして誠にありがとうございます。  今回ご紹介する商品は 【RRL ダブルアールエル】  インディゴ ポルカドット コットンシャツ   最高品質のコットン１００％で作製した生地に、職人が丁寧な本藍染めとウォッシュ加工を施しています。  ポルカドットは日本伝統の技法である抜染で仕上げています。  RRLらしいヴィンテージ感の強い拘りが詰まった逸品です。    【表記サイズ XS】 着丈 約71cm 身幅 約48cm（脇の下） 肩幅 約41cm 袖丈 約62cm（肩から袖先） ※素人寸法のため多少の誤差はご了承ください。   【商品詳細】 新品未使用タグ付き カラー インディゴ 定価 43,200円   【素材】 コットン 100%   ※新品、ＵＳＥＤに関わらず自宅管理になりますので神経質な方はお控え下さい。  ※素材感や色合いの表現には個人差があり、撮影状況、カメラ環境により色合いが異なる場合がありますので、ご理解下さい。  ※購入後のキャンセル、返品、値下げ交渉等は対応しておりません。 他にも多数出品しておりますので、是非ご覧下さいませ。            ※ ラルフローレン ナイジェルケーボン エンジニアードガーメンツ キャリー calee ネイバーフッド テンダーロイン ワコマリア リーバイス レミレリーフ ロンハーマン ネイティブ コムデギャルソン ディーゼル ポールスミス アンダーカバー ソフ ナンバーナイン ノンネイティブ シュプリーム ソロイスト ヒステリックグラマー ノースフェイス ネペンテス wtaps soph サンローラン visvim ビズビム キャピタル htc ホームステッド ヒューマンメイド apc アルファ アヴィレックス バブアー カナダグース モンクレール ルイスレザー センチネラ オルテガ ショット ナバホ マッコイ ビームス インディゴ フラットヘッド ニードルス ブルーナボイン オアスロウ orslow tmt levis Lee ラングラー ポータークラシック ブルーナボイン インディゴ ブルーブルー ハリラン",新品【RRL】インディゴ ポルカドット コットンシャツ 本藍染め ウォッシュ加工,メンズ,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m72423865179_1.jpg?1522070761,着払い,NOT_SOLD,トップス,シャツ,https://item.mercari.com/jp/m72423865179/,新品 RRL インディゴ ポルカドット コットン シャツ 藍染め ウォッシュ 加工  ,"ご覧 誠に 紹介 商品 RRL ダブルアールエル インディゴ ポルカドット コットン シャツ 高品質 コットン 作製 生地 職人 藍 ウォッシュ 加工 ポルカドット 日本 伝統 技法 抜染 RRL ヴィンテージ 逸品 表記 サイズ XS 着丈 71cm 身幅 48cm 脇の下 肩幅 41cm 袖丈 62cm 肩 袖 ※ 素人寸法 誤差 了承 商品 新品 未使用 タグ カラー インディゴ 定価 , 200円 素材 コットン 100% ※ 新品 ＵＳＥＤ 自宅 管理 ※ 素材 色合い 表現 個人差 撮影 状況 カメラ 環境 色合い 理解 ※ 購入 キャンセル 返品 値下げ 交渉 対応 他 出品 是非 ※ ラルフローレン ナイジェルケーボン エンジニアードガーメンツ キャリー calee ネイバーフッド テンダーロイン ワコマリア リーバイス レミレリーフ ロンハーマン ネイティブ コムデギャルソン ディーゼル ポールスミス アンダーカバー ソフ ナンバーナイン ノンネイティブ シュプリーム ソロイスト ヒステリックグラマー ノースフェイス ネペンテス wtaps soph サンローラン visvim ビズビム キャピタル htc ホームステッド ヒューマンメイド apc アルファ アヴィレックス バブアー カナダグース モンクレール ルイスレザー センチネラ オルテガ ショット ナバホ マッコイ ビームス インディゴ フラットヘッド ニードルス ブルーナボイン オアスロウ orslow tmt levis Lee ラングラー ポータークラシック ブルーナボイン インディゴ ブルーブルー ハリラン  ",19800
2868.0,ジュエティ,目立った傷や汚れなし,かっこいい作りになっていますが、使用しないため出品します。,jouetie THRASHERリュック,レディース,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m58801747062_1.jpg?1522041954,送料込み,NOT_SOLD,バッグ,リュック/バックパック,https://item.mercari.com/jp/m58801747062/,jouetie THRASHER リュック  ,作り 使用 出品  ,3000
10451.0,セリーヌ,目立った傷や汚れなし,国内セリーヌにて購入。  購入書、お箱、保存布袋になります。  使用期間5日程度です。  自宅保管ですので神経質な方は御遠慮ください。  メルカリ便にて発送致します。,セリーヌ 長財布 18SS新色 ミディアムブルー 美品,レディース,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m19344675199_1.jpg?1521989603,送料込み,NOT_SOLD,小物,長財布,https://item.mercari.com/jp/m19344675199/,セリーヌ 長財布 SS 新色 ミディアムブルー  ,国内 セリーヌ 購入 購入 箱 保存 布袋 使用 期間 5日 自宅 保管 遠慮 メルカリ 発送  ,62000
8042.0,,新品、未使用,MYne(マイン)のスウェットです。 新品未使用のタグ付きです。 Sサイズで着丈70、身幅58です。 ゾゾタウンの予約商品でした。,MYne マイン スウェット,メンズ,https://static-mercari-jp-imgtr2.akamaized.net/thumb/photos/m85292745896_1.jpg?1521539409,送料込み,NOT_SOLD,トップス,スウェット,https://item.mercari.com/jp/m85292745896/,MYne マイン スウェット  ,MYne マイン スウェット 新品 未使用 タグ S サイズ 着丈 身幅 ゾゾタウン 予約 商品  ,10000
